feature_id,assistant_mean,control_mean,difference,cohens_d,rank,analysis_type
36072,0.9168316721916199,0.0,0.9168316721916199,0.7732402086257935,1,assistant_only
70419,0.8319208025932312,0.0,0.8319208025932312,1.0364059209823608,2,assistant_only
57958,0.5232946276664734,0.0,0.5232946276664734,0.9514988660812378,3,assistant_only
86073,0.4155234396457672,0.0,0.4155234396457672,0.7725329399108887,4,assistant_only
121662,0.41481614112854004,0.0,0.41481614112854004,0.7724032402038574,5,assistant_only
119540,0.39493855834007263,0.0,0.39493855834007263,0.7803325057029724,6,assistant_only
49925,0.3469967842102051,0.0,0.3469967842102051,0.7815471291542053,7,assistant_only
3257,0.30479010939598083,0.0,0.30479010939598083,0.5963445901870728,8,assistant_only
6704,0.2501952350139618,0.0,0.2501952350139618,0.5955629348754883,9,assistant_only
68574,0.21058213710784912,0.0,0.21058213710784912,0.6054468750953674,10,assistant_only
126986,0.19201241433620453,0.0,0.19201241433620453,0.40824827551841736,11,assistant_only
76581,0.12167326360940933,0.0,0.12167326360940933,0.40824830532073975,12,assistant_only
4805,0.12002599239349365,0.0,0.12002599239349365,0.40824827551841736,13,assistant_only
90235,0.11496148258447647,0.0,0.11496148258447647,0.40824827551841736,14,assistant_only
116935,0.11484966427087784,0.0,0.11484966427087784,0.40824824571609497,15,assistant_only
110638,0.1120418831706047,0.0,0.1120418831706047,0.40824827551841736,16,assistant_only
16030,0.10606053471565247,0.0,0.10606053471565247,0.40824830532073975,17,assistant_only
36170,0.10526321083307266,0.0,0.10526321083307266,0.40824827551841736,18,assistant_only
91607,0.10478383302688599,0.0,0.10478383302688599,0.40824827551841736,19,assistant_only
60049,0.10397828370332718,0.0,0.10397828370332718,0.40824827551841736,20,assistant_only
